,Put,Call,Put - Volume,Call - Volume
133.0,2.04,10.36,331,1
134.0,2.28,9.6,600,2
135.0,2.56,8.87,3576,1369
136.0,2.86,8.17,296,15
137.0,3.2,7.52,366,40
138.0,3.55,6.87,396,12
139.0,3.91,6.23,157,37
140.0,4.34,5.65,3316,2653
141.0,4.76,5.07,414,469
142.0,5.21,4.53,1050,5765
143.0,5.71,4.03,655,692
144.0,6.24,3.55,131,258
145.0,6.79,3.1,1108,7399
146.0,7.41,2.71,6,483
147.0,8.05,2.35,14,507
148.0,8.72,2.02,2,805
149.0,9.42,1.72,10,325
150.0,10.16,1.45,200,3075
152.5,12.15,0.94,18,2924
155.0,14.31,0.58,5,1455
